trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.1, 'e': 0.5531340930519748}",30,8,-34.11603272307447,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 0}",1
43,False,"{'a': 0.1, 'e': 0.5453902157492472}",20,2,-1.516230987222475,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
44,False,"{'a': 0.1, 'e': 0.5377547527287576}",25,8,-5.4925263651203196,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
45,False,"{'a': 0.1, 'e': 0.5302261861905551}",20,14,-54.17281169501536,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 1}",1
46,False,"{'a': 0.1, 'e': 0.5228030195838873}",35,0,-6.157620473730075,"{0: 30, 1: 1, 2: 4, 3: 0, 4: 0}",0
47,False,"{'a': 0.1, 'e': 0.5154837773097128}",20,1,-35.49386536138584,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 0}",1
48,False,"{'a': 0.1, 'e': 0.5082670044273768}",20,0,-17.607075877305856,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
49,False,"{'a': 0.1, 'e': 0.5011512663653935}",20,6,-56.90285730988197,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
50,False,"{'a': 0.1, 'e': 0.49413514863627805}",35,0,-37.70749588926862,"{0: 30, 1: 0, 2: 4, 3: 0, 4: 1}",0
51,False,"{'a': 0.1, 'e': 0.4872172565553702}",20,9,9.481494826757459,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.1, 'e': 0.48039621496359497}",20,5,13.825801810230912,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.1, 'e': 0.4736706679541046}",20,13,-14.732491708381957,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
54,False,"{'a': 0.1, 'e': 0.4670392786027472}",25,0,12.038666277040651,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
55,False,"{'a': 0.1, 'e': 0.4605007287023087}",30,0,-66.45834140823351,"{0: 21, 1: 2, 2: 5, 3: 2, 4: 0}",0
56,False,"{'a': 0.1, 'e': 0.4540537185004764}",25,0,13.260752968751122,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
57,False,"{'a': 0.1, 'e': 0.44769696644146967}",25,8,-31.38991626233636,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
58,False,"{'a': 0.1, 'e': 0.4414292089112891}",30,18,9.063371959644776,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.1, 'e': 0.43524919998653105}",30,0,-66.75852145821058,"{0: 24, 1: 0, 2: 4, 3: 1, 4: 1}",0
60,False,"{'a': 0.1, 'e': 0.42915571118671964}",25,14,-14.044400343783172,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
61,False,"{'a': 0.1, 'e': 0.4231475312301055}",20,0,-45.1434157718754,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",1
62,False,"{'a': 0.1, 'e': 0.41722346579288405}",20,0,5.227031025318103,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
63,False,"{'a': 0.1, 'e': 0.4113823372717837}",20,16,4.8516196721335465,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.1, 'e': 0.4056229845499787}",30,0,-40.922560374377795,"{0: 23, 1: 1, 2: 5, 3: 1, 4: 0}",0
65,False,"{'a': 0.1, 'e': 0.399944262766279}",25,8,-27.08442713536698,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
66,False,"{'a': 0.1, 'e': 0.3943450430875511}",20,5,8.6369544775294,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.1, 'e': 0.38882421248432536}",30,19,19.34356139606718,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.1, 'e': 0.3833806735095448}",20,6,23.487700812249127,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.1, 'e': 0.37801334408041115}",20,0,16.673227418228034,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
70,False,"{'a': 0.1, 'e': 0.3727211572632854}",20,0,-67.9935466548686,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
71,False,"{'a': 0.1, 'e': 0.3675030610615994}",25,4,-50.97935813042789,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 2}",1
72,False,"{'a': 0.1, 'e': 0.362358018206737}",20,0,-34.335209935363984,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
73,False,"{'a': 0.1, 'e': 0.3572850059518427}",20,9,-8.924160881667746,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
74,False,"{'a': 0.1, 'e': 0.3522830158685169}",20,12,-9.578364214523335,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
75,False,"{'a': 0.1, 'e': 0.34735105364635765}",25,8,-38.16588167047589,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 1}",1
76,False,"{'a': 0.1, 'e': 0.34248813889530866}",30,12,22.24916509807327,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.1, 'e': 0.3376933049507743}",25,14,19.582574081930346,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.1, 'e': 0.33296559868146347}",25,20,8.655147959100663,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.1, 'e': 0.328304080299923}",20,13,7.567857730977026,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.1, 'e': 0.32370782317572405}",25,0,-21.97467418241764,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
81,False,"{'a': 0.1, 'e': 0.3191759136512639}",25,0,-44.03942932262963,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
82,False,"{'a': 0.1, 'e': 0.31470745086014623}",20,0,23.560124586435464,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.1, 'e': 0.31030154654810416}",20,13,13.834957988087613,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.1, 'e': 0.3059573248964307}",30,7,-13.48803123459247,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
85,False,"{'a': 0.1, 'e': 0.30167392234788065}",30,13,-88.49185643959993,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 2}",1
86,False,"{'a': 0.1, 'e': 0.29745048743501035}",20,8,8.301103424122829,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.1, 'e': 0.29328618061092016}",25,17,-48.960962755159734,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 1}",1
88,False,"{'a': 0.1, 'e': 0.2891801740823673}",25,0,-11.861614955567067,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",1
89,False,"{'a': 0.1, 'e': 0.28513165164521415}",30,17,6.627535953961155,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.1, 'e': 0.2811398085221811}",20,13,13.91687050221427,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.1, 'e': 0.2772038512028706}",25,6,25.478231116967333,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.1, 'e': 0.27332299728603043}",20,11,-2.0022616800176696,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
